Date,Symbol,Open,High,Low,Close,SP,Vol,OI
2011-10-04,S50M12C550,0,0,0,0,78.3,0,0.0
2011-10-05,S50M12C550,0,0,0,0,82.2,0,0.0
2011-10-06,S50M12C550,0,0,0,0,115.4,0,0.0
2011-10-07,S50M12C550,0,0,0,0,113.6,0,0.0
2011-10-10,S50M12C550,0,0,0,0,122.2,0,0.0
2011-10-11,S50M12C550,0,0,0,0,136.8,0,0.0
2011-10-12,S50M12C550,0,0,0,0,141.2,0,0.0
2011-10-13,S50M12C550,0,0,0,0,131.2,0,0.0
2011-10-14,S50M12C550,0,0,0,0,143.2,0,0.0
2011-10-17,S50M12C550,0,0,0,0,153.5,0,0.0
2011-10-18,S50M12C550,0,0,0,0,143.0,0,0.0
2011-10-19,S50M12C550,0,0,0,0,134.0,0,0.0
2011-10-20,S50M12C550,0,0,0,0,117.8,0,0.0
2011-10-21,S50M12C550,0,0,0,0,121.7,0,0.0
2011-10-25,S50M12C550,0,0,0,0,140.6,0,0.0
2011-10-26,S50M12C550,0,0,0,0,138.5,0,0.0
2011-10-27,S50M12C550,0,0,0,0,151.9,0,0.0
2011-10-28,S50M12C550,0,0,0,0,160.7,0,0.0
2011-10-31,S50M12C550,0,0,0,0,160.6,0,0.0
2011-11-01,S50M12C550,0,0,0,0,148.1,0,0.0
2011-11-02,S50M12C550,0,0,0,0,153.1,0,0.0
2011-11-03,S50M12C550,0,0,0,0,146.8,0,0.0
2011-11-04,S50M12C550,0,0,0,0,145.4,0,0.0
2011-11-07,S50M12C550,0,0,0,0,143.6,0,0.0
2011-11-08,S50M12C550,0,0,0,0,161.5,0,0.0
2011-11-09,S50M12C550,0,0,0,0,151.1,0,0.0
2011-11-10,S50M12C550,0,0,0,0,150.4,0,0.0
2011-11-11,S50M12C550,0,0,0,0,151.0,0,0.0
2011-11-14,S50M12C550,0,0,0,0,159.0,0,0.0
2011-11-15,S50M12C550,0,0,0,0,158.8,0,0.0
2011-11-16,S50M12C550,0,0,0,0,165.2,0,0.0
2011-11-17,S50M12C550,0,0,0,0,162.0,0,0.0
2011-11-18,S50M12C550,0,0,0,0,155.0,0,0.0
2011-11-21,S50M12C550,0,0,0,0,143.5,0,0.0
2011-11-22,S50M12C550,0,0,0,0,150.3,0,0.0
2011-11-23,S50M12C550,0,0,0,0,149.6,0,0.0
2011-11-24,S50M12C550,0,0,0,0,151.6,0,0.0
2011-11-25,S50M12C550,0,0,0,0,142.9,0,0.0
2011-11-28,S50M12C550,0,0,0,0,153.9,0,0.0
2011-11-29,S50M12C550,0,0,0,0,155.8,0,0.0
2011-11-30,S50M12C550,0,0,0,0,160.4,0,0.0
2011-12-01,S50M12C550,0,0,0,0,176.4,0,0.0
2011-12-02,S50M12C550,0,0,0,0,183.7,0,0.0
2011-12-06,S50M12C550,0,0,0,0,183.7,0,0.0
2011-12-07,S50M12C550,0,0,0,0,194.0,0,0.0
2011-12-08,S50M12C550,0,0,0,0,191.4,0,0.0
2011-12-09,S50M12C550,0,0,0,0,184.5,0,0.0
2011-12-13,S50M12C550,0,0,0,0,181.8,0,0.0
2011-12-14,S50M12C550,0,0,0,0,177.2,0,0.0
2011-12-15,S50M12C550,0,0,0,0,177.6,0,0.0
2011-12-16,S50M12C550,0,0,0,0,184.0,0,0.0
2011-12-19,S50M12C550,0,0,0,0,183.0,0,0.0
2011-12-20,S50M12C550,0,0,0,0,181.7,0,0.0
2011-12-21,S50M12C550,0,0,0,0,189.0,0,0.0
2011-12-22,S50M12C550,0,0,0,0,185.8,0,0.0
2011-12-23,S50M12C550,0,0,0,0,180.1,0,0.0
2011-12-26,S50M12C550,0,0,0,0,176.6,0,0.0
2011-12-27,S50M12C550,0,0,0,0,174.1,0,0.0
2011-12-28,S50M12C550,0,0,0,0,173.9,0,0.0
2011-12-29,S50M12C550,0,0,0,0,167.9,0,0.0
2011-12-30,S50M12C550,0,0,0,0,168.7,0,0.0
2012-01-04,S50M12C550,0,0,0,0,176.6,0,0.0
2012-01-05,S50M12C550,0,0,0,0,175.4,0,0.0
2012-01-06,S50M12C550,0,0,0,0,173.9,0,0.0
2012-01-09,S50M12C550,0,0,0,0,180.0,0,0.0
2012-01-10,S50M12C550,0,0,0,0,185.7,0,0.0
2012-01-11,S50M12C550,0,0,0,0,183.8,0,0.0
2012-01-12,S50M12C550,0,0,0,0,183.4,0,0.0
2012-01-13,S50M12C550,0,0,0,0,178.1,0,0.0
2012-01-16,S50M12C550,0,0,0,0,172.2,0,0.0
2012-01-17,S50M12C550,0,0,0,0,187.2,0,0.0
2012-01-18,S50M12C550,0,0,0,0,182.9,0,0.0
2012-01-19,S50M12C550,0,0,0,0,187.7,0,0.0
2012-01-20,S50M12C550,0,0,0,0,186.8,0,0.0
2012-01-23,S50M12C550,0,0,0,0,188.8,0,0.0
2012-01-24,S50M12C550,0,0,0,0,190.1,0,0.0
2012-01-25,S50M12C550,0,0,0,0,183.9,0,0.0
2012-01-26,S50M12C550,0,0,0,0,192.8,0,0.0
